Tue Dec 14 20:49:49 EST 2021
Predicting price movement for: 2021-12-14
Loading word weights
['-', 'ads', '0.0', '8', '16']
['-', 'and', '0.0', '16', '16']
['-', 'alternatives', '0.0', '8', '0']
['-', 'according', '0.0', '8', '0']
['-', 'asset', '0.0', '16', '0']
['-', 'activision', '0.0', '16', '0']
['-', 'amd', '0.0', '16', '0']
['-', 'after', '0.0', '16', '0']
['-', 'ahead', '0.0', '8', '0']
['-', 'apple', '0.0', '8', '0']
['-', 'augmented', '0.0', '8', '0']
['-', 'advantage', '0.0', '16', '16']
['-', 'all', '0.0', '8', '16']
['-', 'arm', '0.0', '8', '16']
['-', 'announces', '0.0', '8', '16']
['-', 'availability', '0.0', '8', '16']
['-', 'advisers', '0.0', '8', '0']
['-', 'buys', '0.0', '88', '80']
['-', 'biggest', '0.0', '8', '16']
['-', 'bill', '0.0', '8', '16']
['-', 'baxter', '0.0', '8', '16']
['-', 'buyback', '0.0', '8', '0']
['-', 'boost', '0.0', '8', '0']
['-', 'bitcoin', '0.0', '8', '0']
['-', 'buy', '0.0', '40', '16']
['-', 'billionaire', '0.0', '8', '0']
['-', 'business', '0.0', '16', '0']
['-', 'blizzard', '0.0', '16', '0']
['-', 'beat', '0.0', '8', '0']
['-', 'booking', '0.0', '8', '16']
['-', 'blackrock', '0.0', '8', '16']
['-', 'band', '0.0', '8', '16']
['-', 'beach', '0.0', '8', '16']
['-', 'bumblebee', '0.0', '8', '16']
['-', 'croci', '0.0', '32', '32']
['-', 'climbed', '0.0', '8', '16']
['-', 'calls', '0.0', '8', '16']
['-', 'choice', '0.0', '8', '16']
['-', 'capital', '0.0', '8', '16']
['-', 'companies', '0.0', '24', '16']
['-', 'continue', '0.0', '8', '0']
['-', 'cheap', '0.0', '8', '0']
['-', 'cohen', '0.0', '8', '0']
['-', 'charts', '0.0', '8', '0']
['-', 'corp', '0.0', '24', '16']
['-', 'chipmaker', '0.0', '8', '0']
['-', 'citi', '0.0', '8', '0']
['-', 'cap', '0.0', '8', '16']
['-', 'could', '0.0', '8', '16']
['-', 'concludes', '0.0', '8', '16']
['-', 'dws', '0.0', '32', '32']
['-', 'determine', '0.0', '8', '16']
['-', 'dow', '0.0', '32', '0']
['-', 'drops', '0.0', '8', '0']
['-', 'drive', '0.0', '8', '0']
['-', 'deployment', '0.0', '8', '16']
['-', 'etfs', '0.0', '16', '16']
['-', 'environmentally', '0.0', '8', '0']
['-', 'entire', '0.0', '8', '0']
['-', 'earnings', '0.0', '16', '16']
['-', 'expects', '0.0', '8', '0']
['-', 'elon', '0.0', '8', '0']
['-', 'for', '0.0', '32', '48']
['-', 'fund', '0.0', '40', '32']
['-', 'future', '0.0', '8', '16']
['-', 'friendly', '0.0', '8', '0']
['-', 'futures', '0.0', '16', '0']
['-', 'fall', '0.0', '8', '0']
['-', 'fed', '0.0', '32', '0']
['-', 'fix', '0.0', '8', '0']
['-', 'falls', '0.0', '8', '0']
['-', 'fresh', '0.0', '8', '16']
['-', 'great', '0.0', '16', '32']
['-', 'glenview', '0.0', '8', '16']
['-', 'growth', '0.0', '8', '0']
['-', 'guidance', '0.0', '8', '0']
['-', 'gamble', '0.0', '16', '32']
['-', 'gartner', '0.0', '8', '0']
['-', 'holdings', '0.0', '40', '48']
['-', 'heavyweight', '0.0', '8', '0']
['-', 'hot', '0.0', '24', '0']
['-', 'has', '0.0', '8', '16']
['-', 'high', '0.0', '16', '32']
['-', 'harmonic', '0.0', '8', '16']
['-', 'hlit', '0.0', '8', '16']
['-', 'hits', '0.0', '8', '16']
['-', 'hear', '0.0', '8', '16']
['-', 'investors', '0.0', '24', '32']
['-', 'inc', '0.0', '128', '112']
['-', 'include', '0.0', '8', '16']
['-', 'investment', '0.0', '8', '16']
['-', 'inflation', '0.0', '24', '0']
['-', 'internet', '0.0', '8', '0']
['-', 'international', '0.0', '16', '0']
['-', 'invesco', '0.0', '8', '0']
['-', 'intel', '0.0', '8', '0']
['-', 'its', '0.0', '8', '16']
['-', 'interactive', '0.0', '8', '0']
['-', 'johnson', '0.0', '32', '32']
['-', 'jones', '0.0', '32', '0']
['-', 'looms', '0.0', '24', '0']
['-', 'log', '0.0', '8', '0']
['-', 'large', '0.0', '8', '16']
['-', 'life', '0.0', '8', '16']
['-', 'metaverse', '0.0', '32', '48']
['-', 'mean', '0.0', '16', '16']
['-', 'meta', '0.0', '48', '64']
['-', 'monday', '0.0', '8', '16']
['-', 'management', '0.0', '24', '16']
['-', 'meeting', '0.0', '32', '0']
['-', 'musk', '0.0', '32', '0']
['-', 'more', '0.0', '32', '0']
['-', 'microsoft', '0.0', '8', '0']
['-', 'machines', '0.0', '16', '0']
['-', 'main', '0.0', '8', '0']
['-', 'market', '0.0', '8', '0']
['-', 'most', '0.0', '8', '16']
['-', 'mic', '0.0', '8', '16']
['-', 'new', '0.0', '16', '16']
['-', 'nintendo', '0.0', '8', '16']
['-', 'nfts', '0.0', '8', '0']
['-', 'national', '0.0', '8', '16']
['-', 'nvidia', '0.0', '8', '16']
['-', 'near', '0.0', '8', '16']
['-', 'online', '0.0', '8', '16']
['-', 'off', '0.0', '8', '0']
['-', 'ohio', '0.0', '8', '16']
['-', 'platforms', '0.0', '48', '64']
['-', 'plc', '0.0', '8', '16']
['-', 'participate', '0.0', '8', '0']
['-', 'plan', '0.0', '8', '0']
['-', 'point', '0.0', '16', '0']
['-', 'procter', '0.0', '16', '32']
['-', 'portfolio', '0.0', '8', '16']
['-', 'pick', '0.0', '8', '16']
['-', 'peloton', '0.0', '8', '0']
['-', 'question', '0.0', '8', '16']
['-', 'quarter', '0.0', '8', '0']
['-', 'qualcomm', '0.0', '24', '48']
['-', 'qcom', '0.0', '8', '16']
['-', 'reasons', '0.0', '16', '32']
['-', 'rules', '0.0', '8', '16']
['-', 'report', '0.0', '32', '0']
['-', 'reverses', '0.0', '8', '0']
['-', 'read', '0.0', '8', '0']
['-', 'rise', '0.0', '8', '0']
['-', 'reality', '0.0', '8', '0']
['-', 'room', '0.0', '8', '16']
['-', 'run', '0.0', '8', '16']
['-', 'stock', '0.0', '56', '64']
['-', 'single', '0.0', '8', '16']
['-', 'scam', '0.0', '8', '16']
['-', 'safety', '0.0', '8', '16']
['-', 'synopsys', '0.0', '8', '0']
['-', 'snps', '0.0', '8', '0']
['-', 'shareholders', '0.0', '8', '0']
['-', 'sells', '0.0', '48', '16']
['-', 'shares', '0.0', '24', '0']
['-', 'stocks', '0.0', '16', '0']
['-', 'steve', '0.0', '8', '0']
['-', 'scramble', '0.0', '8', '0']
['-', 'software', '0.0', '8', '0']
['-', 'skids', '0.0', '16', '0']
['-', 'street', '0.0', '8', '0']
['-', 'salesforce', '0.0', '8', '0']
['-', 'storage', '0.0', '8', '16']
['-', 'surged', '0.0', '8', '16']
['-', 'share', '0.0', '8', '16']
['-', 'surprised', '0.0', '8', '16']
['-', 'season', '0.0', '8', '16']
['-', 'ses', '0.0', '8', '16']
['-', 'spectrum', '0.0', '8', '16']
['-', 'still', '0.0', '8', '16']
['-', 'technologies', '0.0', '40', '48']
['-', 'the', '0.0', '40', '80']
['-', 'that', '0.0', '24', '32']
['-', 'trillion', '0.0', '8', '16']
['-', 'tighten', '0.0', '8', '16']
['-', 'towers', '0.0', '8', '16']
['-', 'tesla', '0.0', '32', '0']
['-', 'tech', '0.0', '8', '0']
['-', 'threatens', '0.0', '8', '0']
['-', 'third', '0.0', '8', '0']
['-', 'top', '0.0', '8', '16']
